subject,session_changed,emotion_changed,EER
14,0,1,0.029513888888888888
15,0,1,0.23952380952380953
16,0,1,0.1905982905982906
1,1,0,0.18368055555555554
2,1,0,0.2754681647940075
3,1,0,0.23880070546737214
4,1,0,0.12222222222222223
5,1,0,0.2895348837209302
6,1,0,0.13541666666666663
7,1,0,0.6720164609053498
8,1,0,0.11705882352941177
9,1,0,0.11569767441860465
10,1,0,0.3775925925925926
11,1,0,0.26027944111776447
12,1,0,0.04101221640488659
13,1,0,0.3097142857142857
14,1,0,0.05274914089347081
15,1,0,0.2147747747747748
16,1,0,0.09944444444444443
1,1,1,0.1091954022988506
2,1,1,0.25865800865800864
3,1,1,0.25316455696202533
4,1,1,0.09454545454545452
5,1,1,0.24670658682634733
6,1,1,0.2291139240506329
7,1,1,0.6851851851851851
8,1,1,0.12704402515723268
9,1,1,0.10986842105263156
10,1,1,0.283531746031746
11,1,1,0.25769230769230766
12,1,1,0.010683760683760661
13,1,1,0.35642570281124497
14,1,1,0.06430107526881723
15,1,1,0.3005917159763314
16,1,1,0.1818181818181818
1,1,1,0.2424778761061947
2,1,1,0.2622908622908623
3,1,1,0.2397018970189702
4,1,1,0.12980030721966207
5,1,1,0.28793103448275864
6,1,1,0.22127659574468084
7,1,1,0.6191958495460441
8,1,1,0.0958831341301461
9,1,1,0.13674242424242422
10,1,1,0.3354609929078014
11,1,1,0.2945355191256831
12,1,1,0.016742081447963825
13,1,1,0.3856125356125356
14,1,1,0.03819742489270386
15,1,1,0.26214177978883857
16,1,1,0.1375350140056022
1,1,1,0.12154882154882155
2,1,1,0.3024432809773124
3,1,1,0.4052941176470588
4,1,1,0.13466666666666666
5,1,1,0.24064625850340135
6,1,1,0.3315217391304348
7,1,1,0.5975124378109453
8,1,1,0.12676767676767678
9,1,1,0.1308108108108108
10,1,1,0.36084142394822005
11,1,1,0.23270142180094783
12,1,1,0.02491749174917493
13,1,1,0.44719298245614036
14,1,1,0.061224489795918345
15,1,1,0.3571658615136876
16,1,1,0.1379251700680272
1,1,1,0.1803030303030303
2,1,1,0.2872881355932203
3,1,1,0.2420924574209246
4,1,1,0.0835858585858586
5,1,1,0.23333333333333334
6,1,1,0.1888040712468193
7,1,1,0.7215223097112862
8,1,1,0.1051912568306011
9,1,1,0.2057742782152231
10,1,1,0.34444444444444444
11,1,1,0.2789617486338798
12,1,1,0.014358974358974333
13,1,1,0.35851851851851846
14,1,1,0.04726775956284156
15,1,1,0.2310734463276836
16,1,1,0.1556473829201102
1,1,0,0.2292565947242206
2,1,0,0.4396464646464647
3,1,0,0.2481203007518797
4,1,0,0.11705426356589146
5,1,0,0.21167883211678828
6,1,0,0.10354609929078017
7,1,0,0.5456582633053222
8,1,0,0.2394160583941606
9,1,0,0.05234567901234566
10,1,0,0.4097435897435897
11,1,0,0.24631043256997454
12,1,0,0.04705882352941174
13,1,0,0.32305555555555554
14,1,0,0.14817708333333335
15,1,0,0.2546153846153846
16,1,0,0.20512820512820515
1,1,1,0.20068728522336768
2,1,1,0.47180762852404645
3,1,1,0.3246305418719212
4,1,1,0.19342948717948716
5,1,1,0.25233644859813087
6,1,1,0.17271241830065356
7,1,1,0.6050505050505051
8,1,1,0.18977987421383646
9,1,1,0.06469696969696967
10,1,1,0.2875621890547264
11,1,1,0.2520634920634921
12,1,1,0.01962774957698813
13,1,1,0.35115511551155115
14,1,1,0.17887323943661973
15,1,1,0.3192118226600985
16,1,1,0.20656814449917899
1,1,1,0.2536745406824147
2,1,1,0.34966532797858096
3,1,1,0.4574858757062147
4,1,1,0.1053221288515406
5,1,1,0.20815752461322085
6,1,1,0.1491525423728814
7,1,1,0.5438725490196079
8,1,1,0.1567750677506775
9,1,1,0.14591977869986172
10,1,1,0.3905913978494624
11,1,1,0.2707850707850708
12,1,1,0.00853658536585368
13,1,1,0.3685560053981107
14,1,1,0.252832674571805
15,1,1,0.30584329349269584
16,1,1,0.11805006587615283
1,1,1,0.22734530938123754
2,1,1,0.3569444444444444
3,1,1,0.4387878787878788
4,1,1,0.11382575757575758
5,1,1,0.20994152046783626
6,1,1,0.15843881856540082
7,1,1,0.5420833333333333
8,1,1,0.1703463203463203
9,1,1,0.16548323471400392
10,1,1,0.35699588477366256
11,1,1,0.20460526315789473
12,1,1,0.004819277108433717
13,1,1,0.4574181117533719
14,1,1,0.2153374233128834
15,1,1,0.3440613026819923
16,1,1,0.16947791164658632
1,1,1,0.20639269406392696
2,1,1,0.49955555555555553
3,1,1,0.21451942740286298
4,1,1,0.12863534675615212
5,1,1,0.19030732860520097
6,1,1,0.2118012422360248
7,1,1,0.6370860927152318
8,1,1,0.20419426048565126
9,1,1,0.1622222222222222
10,1,1,0.3410901467505241
11,1,1,0.24977477477477478
12,1,1,0.03827956989247311
13,1,1,0.32932489451476793
14,1,1,0.19020979020979023
15,1,1,0.1976525821596244
16,1,1,0.2536231884057971
1,0,1,0.23703703703703705
2,0,1,0.15666666666666668
3,0,1,0.12488262910798124
4,0,1,0.11173708920187791
5,0,1,0.23728070175438593
6,0,1,0.17238095238095236
